"Year","Girl_Student_GER","Female_Teacher_Ratio","Budget_Allocation","Policy_BBBP"
"2012-13",0.481488909131529,0.457719715237507,51807.45,0
"2013-14",0.480852054315316,0.462578539952902,55842.94,0
"2014-15",0.480968612261936,0.469002458677206,17376.16,0
"2015-16",0.481408376822717,0.473114807058784,18659.34,1
"2016-17",0.480727510620759,0.476923999397697,20821.25,1
"2017-18",0.480563599405653,0.482268833237937,24982.44,1
"2018-19",0.481121338760633,0.499874083313266,21635.84,1
"2019-20",0.481684055168885,0.507447734350912,27749.65,1
"2020-21",0.480971179620046,0.510195664897114,27742.11,1
"2021-22",0.480532058452051,0.512955601815607,29226.01,1
